@SampleID:Metaphlan_Analysis
@Version:0.10.0
@Ranks:superkingdom|phylum|class|order|family|genus|species|strain
@TaxonomyID:
@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE
2	superkingdom	2	Bacteria	100.0
1239	phylum	2|1239	Bacteria|Firmicutes	35.82925
1224	phylum	2|1224	Bacteria|Proteobacteria	22.72458
976	phylum	2|976	Bacteria|Bacteroidetes	15.55525
201174	phylum	2|201174	Bacteria|Actinobacteria	14.93547
544448	phylum	2|544448	Bacteria|Tenericutes	10.95546
909932	class	2|1239|909932	Bacteria|Firmicutes|Negativicutes	26.75505
1853228	class	2|976|1853228	Bacteria|Bacteroidetes|Chitinophagia	15.46168
1760	class	2|201174|1760	Bacteria|Actinobacteria|Actinomycetia	14.93547
31969	class	2|544448|31969	Bacteria|Tenericutes|Mollicutes	10.95546
28216	class	2|1224|28216	Bacteria|Proteobacteria|Betaproteobacteria	8.24472
91061	class	2|1239|91061	Bacteria|Firmicutes|Bacilli	8.02459
28211	class	2|1224|28211	Bacteria|Proteobacteria|Alphaproteobacteria	6.66748
1236	class	2|1224|1236	Bacteria|Proteobacteria|Gammaproteobacteria	6.01321
28221	class	2|1224|28221	Bacteria|Proteobacteria|Deltaproteobacteria	1.79917
186801	class	2|1239|186801	Bacteria|Firmicutes|Clostridia	1.04961
117743	class	2|976|117743	Bacteria|Bacteroidetes|Flavobacteriia	0.09357
909929	order	2|1239|909932|909929	Bacteria|Firmicutes|Negativicutes|Selenomonadales	26.75505
1853229	order	2|976|1853228|1853229	Bacteria|Bacteroidetes|Chitinophagia|Chitinophagales	15.46168
186332	order	2|544448|31969|186332	Bacteria|Tenericutes|Mollicutes|Anaeroplasmatales	10.95546
1385	order	2|1239|91061|1385	Bacteria|Firmicutes|Bacilli|Bacillales	8.02459
80840	order	2|1224|28216|80840	Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales	7.60215
204455	order	2|1224|28211|204455	Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales	6.66748
72274	order	2|1224|1236|72274	Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales	5.60462
213118	order	2|1224|28221|213118	Bacteria|Proteobacteria|Deltaproteobacteria|Desulfobacterales	1.79917
186802	order	2|1239|186801|186802	Bacteria|Firmicutes|Clostridia|Eubacteriales	1.04961
206351	order	2|1224|28216|206351	Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales	0.64256
135614	order	2|1224|1236|135614	Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales	0.40859
200644	order	2|976|117743|200644	Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales	0.09357
1843491	family	2|1239|909932|909929|1843491	Bacteria|Firmicutes|Negativicutes|Selenomonadales|Selenomonadaceae	26.75505
563835	family	2|976|1853228|1853229|563835	Bacteria|Bacteroidetes|Chitinophagia|Chitinophagales|Chitinophagaceae	15.46168
85021	family	2|201174|1760|85006|85021	Bacteria|Actinobacteria|Actinomycetia|Micrococcales|Intrasporangiaceae	13.95561
186333	family	2|544448|31969|186332|186333	Bacteria|Tenericutes|Mollicutes|Anaeroplasmatales|Anaeroplasmataceae	10.95546
	family	2|1239|91061|1385|	Bacteria|Firmicutes|Bacilli|Bacillales|	8.02459
75682	family	2|1224|28216|80840|75682	Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Oxalobacteraceae	7.26561
31989	family	2|1224|28211|204455|31989	Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae	6.66748
135621	family	2|1224|1236|72274|135621	Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae	5.60462
213119	family	2|1224|28221|213118|213119	Bacteria|Proteobacteria|Deltaproteobacteria|Desulfobacterales|Desulfobacteraceae	1.79917
85025	family	2|201174|1760|85007|85025	Bacteria|Actinobacteria|Actinomycetia|Corynebacteriales|Nocardiaceae	0.97985
1499392	family	2|1224|28216|206351|1499392	Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Chromobacteriaceae	0.64256
32033	family	2|1224|1236|135614|32033	Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae	0.36868
