@SampleID:
@Version:0.10.0
@Ranks:superkingdom|phylum|class|order|family|genus|species|strain
@TaxonomyID:
@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE
100.00	13981174	0	R	1	root
100.00	13980821	0	R1	131567	  cellular organisms
99.89	13966097	0	D	2	    Bacteria
65.51	9159235	0	P	1224	      Pseudomonadota
32.42	4532210	0	C	1236	        Gammaproteobacteria
30.62	4280946	0	O	72274	          Pseudomonadales
30.61	4279454	0	F	135621	            Pseudomonadaceae
30.58	4275031	0	G	286	              Pseudomonas
29.62	4141040	0	G1	136841	                Pseudomonas aeruginosa group
29.55	4130917	4130917	S	287	                  Pseudomonas aeruginosa
0.43	60578	0	G1	196821	                unclassified Pseudomonas
0.07	9743	0	G1	136845	                Pseudomonas putida group
0.04	5670	5670	S	303	                  Pseudomonas putida
0.06	8459	0	G1	136843	                Pseudomonas fluorescens group
0.04	5521	0	G1	136842	                Pseudomonas chlororaphis group
0.04	5174	0	G1	136849	                Pseudomonas syringae group
0.06	8989	8989	S	1880678	                Pseudomonas sivasensis
1.32	184746	0	O	135614	          Xanthomonadales
1.23	171400	0	F	32033	            Xanthomonadaceae
0.83	116574	0	G	2370	              Xylella
0.83	116551	116551	S	2371	                Xylella fastidiosa
0.21	30000	0	G	68	              Lysobacter
0.08	11601	11601	S	2865112	                Lysobacter terrestris
0.03	4023	0	G1	2635362	                unclassified Lysobacter
0.06	7853	0	G	338	              Xanthomonas
0.06	7724	0	G	40323	              Stenotrophomonas
0.03	4316	0	G	83618	              Pseudoxanthomonas
0.10	13345	0	F	1775411	            Rhodanobacteraceae
0.06	8700	0	G	75309	              Rhodanobacter
0.03	4095	4095	S	416169	                Rhodanobacter thiooxydans
0.23	31530	0	O	91347	          Enterobacterales
0.16	21889	0	F	543	            Enterobacteriaceae
0.07	9394	0	G	547	              Enterobacter
0.06	8231	0	G1	354276	                Enterobacter cloacae complex
0.03	4341	4341	S	158836	                  Enterobacter hormaechei
0.04	5555	0	F1	2890311	              Klebsiella/Raoultella group
0.04	5493	0	G	570	                Klebsiella
0.03	3872	3872	S	573	                  Klebsiella pneumoniae
0.05	6437	0	O	135619	          Oceanospirillales
0.03	4352	0	F	28256	            Halomonadaceae
0.03	3526	0	G	2745	              Halomonas
0.03	4871	0	O	135622	          Alteromonadales
0.03	4273	0	O	135613	          Chromatiales
17.32	2422161	0	C	28211	        Alphaproteobacteria
16.35	2286316	0	O	204455	          Rhodobacterales
15.76	2203437	0	F	31989	            Paracoccaceae
15.12	2113811	0	G	265	              Paracoccus
14.51	2028516	2028516	S	266	                Paracoccus denitrificans
0.14	18938	0	G1	2688777	                unclassified Paracoccus (in: a-proteobacteria)
0.05	6700	6700	S	2895796	                  Paracoccus sp. MA
0.10	13324	13324	S	82367	                Paracoccus pantotrophus
0.08	10909	10909	S	34007	                Paracoccus versutus
0.03	4289	4289	S	135740	                Paracoccus kondratievae
0.03	3567	3567	S	2812658	                Paracoccus methylovorus
0.03	3803	3803	S	147645	                Paracoccus yeei
0.08	10650	0	G	1060	              Rhodobacter
0.04	5992	0	G1	196779	                unclassified Rhodobacter
0.03	3895	3895	S	1850250	                  Rhodobacter sp. LPB0142
0.03	4658	4658	S	1061	                Rhodobacter capsulatus
0.07	9843	0	G	2946607	              Neotabrizicola
0.07	9843	9843	S	2807096	                Neotabrizicola shimadae
0.06	8106	0	G	1653176	              Cereibacter
0.04	5550	5550	S	1063	                Cereibacter sphaeroides
0.05	6635	0	G	2818469	              Fuscovulum
0.03	3786	0	G1	2818470	                unclassified Fuscovulum
0.03	3786	3786	S	3042299	                  Fuscovulum sp. YMD61
0.04	5205	0	G	1443919	              Tabrizicola
0.04	5205	5205	S	2494374	                Tabrizicola piscis
0.04	5021	0	G	34008	              Rhodovulum
0.03	3572	0	G1	2631432	                unclassified Rhodovulum
0.03	4416	0	G	204456	              Gemmobacter
0.03	4241	0	G	1775705	              Frigidibacter
0.03	4241	4241	S	1335048	                Frigidibacter mobilis
0.03	3950	0	G	1679449	              Pseudooceanicola
0.03	3883	0	G	285107	              Thioclava
0.59	82879	0	F	2854170	            Roseobacteraceae
0.09	13269	0	G	60136	              Sulfitobacter
0.05	7056	0	G1	196795	                unclassified Sulfitobacter
0.08	11500	0	G	74030	              Roseovarius
0.04	4941	0	G1	2614913	                unclassified Roseovarius
0.04	5659	0	G	875170	              Celeribacter
0.04	5619	0	G	191028	              Leisingera
0.04	5545	0	G	97050	              Ruegeria
0.04	5172	0	G	263377	              Salipiger
0.03	3792	0	G	302485	              Phaeobacter
0.03	3781	0	G	2854186	              Pseudosulfitobacter
0.61	85492	0	O	356	          Hyphomicrobiales
