@SampleID:
@Version:0.10.0
@Ranks:superkingdom|phylum|class|order|family|genus|species|strain
@TaxonomyID:
@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE
100.00	20193437	0	R	1	root
99.99	20191982	0	R1	131567	  cellular organisms
99.80	20152752	0	D	2	    Bacteria
60.74	12266315	0	P	1224	      Proteobacteria
25.62	5174274	0	C	1236	        Gammaproteobacteria
23.33	4711661	0	O	72274	          Pseudomonadales
23.28	4700581	0	F	135621	            Pseudomonadaceae
23.25	4695581	0	G	286	              Pseudomonas
21.34	4308423	0	G1	136841	                Pseudomonas aeruginosa group
21.16	4273280	4273280	S	287	                  Pseudomonas aeruginosa
0.04	8901	8901	S	300	                  Pseudomonas mendocina
0.04	7844	0	G2	627141	                  Pseudomonas nitroreducens/multiresinivorans group
0.03	5310	0	G2	1232139	                  Pseudomonas oleovorans/pseudoalcaligenes group
0.03	5381	5381	S	43263	                  Pseudomonas alcaligenes
0.58	116237	0	G1	196821	                unclassified Pseudomonas
0.03	5756	5756	S	2725477	                  Pseudomonas sp. TUM18999
0.07	14012	14012	S	2724470	                  Pseudomonas sp. BIGb0427
0.22	43703	0	G1	136845	                Pseudomonas putida group
0.15	29354	29354	S	303	                  Pseudomonas putida
0.21	43262	0	G1	136843	                Pseudomonas fluorescens group
0.08	16267	16267	S	294	                  Pseudomonas fluorescens
0.03	6960	6960	S	380021	                  Pseudomonas protegens
0.19	38474	0	G1	136842	                Pseudomonas chlororaphis group
0.18	36814	36814	S	587753	                  Pseudomonas chlororaphis
0.16	32208	0	G1	136846	                Pseudomonas stutzeri group
0.14	27701	0	G2	578833	                  Pseudomonas stutzeri subgroup
0.14	27701	27701	S	316	                    Pseudomonas stutzeri
0.09	17815	0	G1	136849	                Pseudomonas syringae group
0.04	8370	8370	S	36746	                  Pseudomonas cichorii
0.04	8048	8048	S	65741	                Pseudomonas knackmussii
0.03	6204	6204	S	319939	                Pseudomonas otitidis
0.06	12147	12147	S	312306	                Pseudomonas entomophila
0.05	11079	0	F	468	            Moraxellaceae
0.05	9238	0	G	469	              Acinetobacter
1.36	274842	0	O	135614	          Xanthomonadales
1.26	253949	0	F	32033	            Xanthomonadaceae
0.57	115125	0	G	2370	              Xylella
0.57	115093	115093	S	2371	                Xylella fastidiosa
0.34	69245	0	G	68	              Lysobacter
0.17	35207	35207	S	2763317	                Lysobacter solisilvae
0.04	7592	7592	S	69	                Lysobacter enzymogenes
0.13	26574	0	G	40323	              Stenotrophomonas
0.08	15933	0	G1	995085	                Stenotrophomonas maltophilia group
0.06	12943	12943	S	40324	                  Stenotrophomonas maltophilia
0.03	5072	0	G1	196198	                unclassified Stenotrophomonas
0.12	24149	0	G	338	              Xanthomonas
0.03	6398	0	G1	643453	                Xanthomonas citri group
0.03	6398	6398	S	346	                  Xanthomonas citri
0.03	6416	0	G	83614	              Luteimonas
0.03	5698	0	G	83618	              Pseudoxanthomonas
0.03	5657	0	G	141948	              Thermomonas
0.10	20892	0	F	1775411	            Rhodanobacteraceae
0.06	12944	0	G	75309	              Rhodanobacter
0.04	8432	8432	S	666685	                Rhodanobacter denitrificans
0.42	83863	0	O	91347	          Enterobacterales
0.26	51680	0	F	543	            Enterobacteriaceae
0.08	15370	0	G	547	              Enterobacter
0.07	13951	0	G1	354276	                Enterobacter cloacae complex
0.05	9779	0	G	570	              Klebsiella
0.04	7630	7630	S	573	                Klebsiella pneumoniae
0.05	9306	0	G	561	              Escherichia
0.04	8922	8922	S	562	                Escherichia coli
0.06	11396	0	F	1903411	            Yersiniaceae
0.04	7631	0	G	613	              Serratia
0.04	8709	0	F	1903409	            Erwiniaceae
0.03	5125	0	F	1903410	            Pectobacteriaceae
0.10	21076	0	O	135619	          Oceanospirillales
0.07	14152	0	F	28256	            Halomonadaceae
0.06	11247	0	G	2745	              Halomonas
0.03	6850	0	G1	2609666	                unclassified Halomonas
0.10	21043	0	O	135622	          Alteromonadales
0.04	7744	0	F	72275	            Alteromonadaceae
0.03	5481	0	F	267890	            Shewanellaceae
0.03	5398	0	G	22	              Shewanella
0.03	5321	0	F	267888	            Pseudoalteromonadaceae
0.03	5218	0	G	53246	              Pseudoalteromonas
0.05	10925	0	O	135613	          Chromatiales
0.05	10133	0	O	135623	          Vibrionales
0.05	10133	0	F	641	            Vibrionaceae
0.04	8765	0	G	662	              Vibrio
0.04	8376	0	O	135624	          Aeromonadales
0.04	8213	0	F	84642	            Aeromonadaceae
0.03	6940	0	G	642	              Aeromonas
0.03	5854	0	O	1706369	          Cellvibrionales
0.03	5321	0	O	135625	          Pasteurellales
0.03	5321	0	F	712	            Pasteurellaceae
0.03	5243	0	O	135618	          Methylococcales
0.03	5243	0	F	403	            Methylococcaceae
14.94	3017540	0	C	28216	        Betaproteobacteria
14.44	2916457	0	O	80840	          Burkholderiales
11.61	2343586	0	F	75682	            Oxalobacteraceae
8.18	1650935	0	G	149698	              Massilia
3.99	806653	0	G1	2609279	                unclassified Massilia
2.17	438610	438610	S	1678028	                  Massilia sp. NR 4-1
0.57	114379	114379	S	1593482	                  Massilia sp. YMA4
0.50	100568	100568	S	2765360	                  Massilia sp. CCM 8941
0.48	97487	97487	S	1707785	                  Massilia sp. WG5
0.26	52841	52841	S	2769491	                  Massilia sp. LPB0304
0.52	105637	105637	S	871742	                Massilia flava
0.51	103144	103144	S	321983	                Massilia albidiflava
0.49	99266	99266	S	2072590	                Massilia armeniaca
0.45	91340	91340	S	321984	                Massilia plicata
0.39	78543	78543	S	321985	                Massilia lutea
0.38	77691	77691	S	864828	                Massilia umbonata
0.40	79810	79810	S	2045208	                Massilia violaceinigra
0.66	134009	134009	S	945844	                Massilia oculi
0.37	74836	74836	S	1141883	                Massilia putida
1.68	339755	0	G	29580	              Janthinobacterium
0.67	134353	0	G1	2610881	                unclassified Janthinobacterium
0.28	56579	56579	S	1644131	                  Janthinobacterium sp. 1_2014MBL_MicDiv
0.16	32714	32714	S	1938606	                  Janthinobacterium sp. LM6
0.05	9268	9268	S	2497863	                  Janthinobacterium sp. 17J80-10
0.13	25316	25316	S	1537274	                  Janthinobacterium sp. HH102
0.51	103015	103015	S	55508	                Janthinobacterium agaricidamnosum
0.13	26563	26563	S	368607	                Janthinobacterium svalbardensis
0.12	25150	25150	S	2590869	                Janthinobacterium tructae
0.25	50672	50672	S	29581	                Janthinobacterium lividum
1.04	210947	0	G	75654	              Duganella
1.04	210947	0	G1	2636909	                unclassified Duganella
0.79	159250	159250	S	2728021	                  Duganella sp. AF9R3
0.26	51697	51697	S	2728020	                  Duganella sp. GN2-R2
0.42	85595	0	G	963	              Herbaspirillum
0.11	22575	22575	S	2014887	                Herbaspirillum robiniae
0.09	17718	17718	S	964	                Herbaspirillum seropedicae
0.05	9968	9968	S	341045	                Herbaspirillum hiltneri
0.05	11014	11014	S	80842	                Herbaspirillum rubrisubalbicans
0.05	10172	10172	S	92645	                Herbaspirillum frisingense
0.04	8344	8344	S	863372	                Herbaspirillum huttiense
0.03	5801	0	G1	2624150	                unclassified Herbaspirillum
0.03	5801	5801	S	2025949	                  Herbaspirillum sp. meg3
0.17	34583	0	G	202907	              Collimonas
0.07	14219	14219	S	158899	                Collimonas fungivorans
0.05	10311	10311	S	279058	                Collimonas arenae
0.05	10052	10052	S	279113	                Collimonas pratensis
0.06	12659	0	G	1344552	              Noviherbaspirillum
0.06	12659	0	G1	2617509	                unclassified Noviherbaspirillum
0.06	12659	12659	S	2601898	                  Noviherbaspirillum sp. UKPF54
0.03	5746	0	G	401469	              Undibacterium
1.34	271004	0	F	119060	            Burkholderiaceae
0.61	122943	0	G	106589	              Cupriavidus
0.10	19952	19952	S	164546	                Cupriavidus taiwanensis
0.06	11652	11652	S	106590	                Cupriavidus necator
0.04	8622	8622	S	68895	                Cupriavidus basilensis
0.03	6991	6991	S	96344	                Cupriavidus oxalaticus
0.03	6625	6625	S	82633	                Cupriavidus pauculus
0.27	53810	53810	S	248026	                Cupriavidus pinatubonensis
0.35	69972	0	G	32008	              Burkholderia
0.19	37543	0	G1	87882	                Burkholderia cepacia complex
