@SampleID:
@Version:0.10.0
@Ranks:superkingdom|phylum|class|order|family|genus|species|strain
@TaxonomyID:
@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE
1.74	35795625	35795625	U	0	unclassified
28.26	14102554	18115	R	1	root
28.22	14083615	9978	R1	131567	  cellular organisms
28.17	14057573	159653	D	2	    Bacteria
18.44	9199562	116422	P	1224	      Pseudomonadota
8.82	4399870	16155	C	1236	        Gammaproteobacteria
8.28	4133064	300	O	72274	          Pseudomonadales
8.28	4131250	23197	F	135621	            Pseudomonadaceae
8.22	4103453	2560679	G	286	              Pseudomonas
2.86	1426914	59894	G1	136841	                Pseudomonas aeruginosa group
2.72	1358101	1345967	S	287	                  Pseudomonas aeruginosa
0.11	56444	11541	G1	196821	                unclassified Pseudomonas
0.37	183039	1896	O	135614	          Xanthomonadales
0.34	167833	8170	F	32033	            Xanthomonadaceae
0.21	106677	90	G	2370	              Xylella
0.21	106564	105004	S	2371	                Xylella fastidiosa
0.06	29020	7057	G	68	              Lysobacter
0.03	13310	712	F	1775411	            Rhodanobacteraceae
0.06	30578	2879	O	91347	          Enterobacterales
0.04	17794	2036	F	543	            Enterobacteriaceae
4.85	2419450	40512	C	28211	        Alphaproteobacteria
4.50	2243524	47524	O	204455	          Rhodobacterales
4.24	2113896	30839	F	31989	            Paracoccaceae
4.01	1998656	180378	G	265	              Paracoccus
3.48	1738555	1738039	S	266	                Paracoccus denitrificans
0.04	18202	2326	G1	2688777	                unclassified Paracoccus (in: a-proteobacteria)
0.16	82104	14703	F	2854170	            Roseobacteraceae
0.17	84736	8597	O	356	          Hyphomicrobiales
0.04	19944	1217	F	82115	            Rhizobiaceae
0.03	12907	1184	F1	227290	              Rhizobium/Agrobacterium group
0.03	14797	448	F	41294	            Nitrobacteraceae
0.05	23801	602	O	204457	          Sphingomonadales
0.04	18050	1168	F	41297	            Sphingomonadaceae
0.03	14758	137	O	204441	          Rhodospirillales
4.54	2263512	26825	C	28216	        Betaproteobacteria
4.40	2193552	88605	O	80840	          Burkholderiales
3.89	1940343	88048	F	75682	            Oxalobacteraceae
3.51	1749201	204386	F1	2895353	              Telluria group
2.35	1173016	56126	G	1522432	                Pseudoduganella
2.06	1026520	1026520	S	2660641	                  Pseudoduganella aquatica
0.03	16623	16623	S	871742	                  Pseudoduganella flava
0.03	13650	13650	S	321984	                  Pseudoduganella plicata
0.03	12542	12542	S	34070	                  Pseudoduganella chitinolytica
0.54	270028	34314	G	149698	                Massilia
0.36	181868	59401	G1	2609279	                  unclassified Massilia
0.07	33163	33163	S	2899220	                    Massilia sp. DM-R-R2A-13
0.03	14784	14784	S	1593482	                    Massilia sp. YMA4
0.03	14402	14402	S	2738142	                    Massilia sp. erpn
0.03	12984	12984	S	3064278	                    Massilia sp. R2A-15
0.04	19800	19800	S	2045208	                  Massilia violaceinigra
0.11	53317	1146	G	75654	                Duganella
0.06	28132	28132	S	2728021	                  Duganella dendranthematis
0.05	24039	24039	S	75659	                  Duganella zoogloeoides
0.08	41993	0	G	212744	                Rugamonas
0.08	41993	0	G1	2620350	                  unclassified Rugamonas
0.08	41993	41993	S	3039386	                    Rugamonas sp. DEMB1
0.14	68419	26497	G	29580	              Janthinobacterium
0.05	23443	2221	G1	2610881	                unclassified Janthinobacterium
0.04	20186	4933	G	963	              Herbaspirillum
0.14	67780	7179	F	119060	            Burkholderiaceae
0.04	19339	6706	G	106589	              Cupriavidus
0.03	14473	3660	G	32008	              Burkholderia
