@SampleID:
@Version:0.10.0
@Ranks:superkingdom|phylum|class|order|family|genus|species|strain
@TaxonomyID:
@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE
59.51	29692909	29692909	U	0	unclassified
40.49	20205270	10357	R	1	root
40.47	20191984	23681	R1	131567	  cellular organisms
40.34	20128624	359097	D	2	    Bacteria
23.89	11922115	183420	P	1224	      Proteobacteria
9.53	4755739	27572	C	1236	        Gammaproteobacteria
8.57	4275625	181	O	72274	          Pseudomonadales
8.55	4265260	790	F	135621	            Pseudomonadaceae
8.54	4259483	1655201	G	286	              Pseudomonas
4.55	2269460	5583	G1	136841	                Pseudomonas aeruginosa group
4.47	2229394	2169071	S	287	                  Pseudomonas aeruginosa
0.22	112022	19292	G1	196821	                unclassified Pseudomonas
0.08	42018	3049	G1	136843	                Pseudomonas fluorescens group
0.03	15484	11343	S	294	                  Pseudomonas fluorescens
0.08	37741	2872	G1	136845	                Pseudomonas putida group
0.05	23301	21628	S	303	                  Pseudomonas putida
0.06	30072	868	G1	136846	                Pseudomonas stutzeri group
0.05	24766	0	G2	578833	                  Pseudomonas stutzeri subgroup
0.05	24766	20410	S	316	                    Pseudomonas stutzeri
0.03	14820	28	G1	136842	                Pseudomonas chlororaphis group
0.03	13148	10232	S	587753	                  Pseudomonas chlororaphis
0.03	12654	3598	G1	136849	                Pseudomonas syringae group
0.54	271899	1511	O	135614	          Xanthomonadales
0.50	249656	8799	F	32033	            Xanthomonadaceae
0.22	107694	50	G	2370	              Xylella
0.22	107612	102829	S	2371	                Xylella fastidiosa
0.14	67615	4284	G	68	              Lysobacter
0.07	34362	34362	S	2763317	                Lysobacter solisilvae
0.05	25011	6510	G	40323	              Stenotrophomonas
0.05	22546	8249	G	338	              Xanthomonas
0.04	20732	367	F	1775411	            Rhodanobacteraceae
0.03	12562	320	G	75309	              Rhodanobacter
0.16	77624	5758	O	91347	          Enterobacterales
0.08	40424	4905	F	543	            Enterobacteriaceae
0.04	21118	540	O	135622	          Alteromonadales
0.04	20849	166	O	135619	          Oceanospirillales
0.03	13962	502	F	28256	            Halomonadaceae
5.95	2968600	25811	C	28216	        Betaproteobacteria
5.70	2846183	97837	O	80840	          Burkholderiales
4.52	2254800	124401	F	75682	            Oxalobacteraceae
3.01	1499643	202528	G	149698	              Massilia
1.26	628654	56538	G1	2609279	                unclassified Massilia
0.61	305280	305280	S	1678028	                  Massilia sp. NR 4-1
0.20	100872	100872	S	1593482	                  Massilia sp. YMA4
0.12	60649	60649	S	2765360	                  Massilia sp. CCM 8941
0.12	58747	58747	S	1707785	                  Massilia sp. WG5
0.09	45974	45974	S	2769491	                  Massilia sp. LPB0304
0.20	98424	98424	S	871742	                Massilia flava
0.19	92752	92752	S	321983	                Massilia albidiflava
0.18	89566	89566	S	2072590	                Massilia armeniaca
0.17	84147	84147	S	321984	                Massilia plicata
0.15	72683	72683	S	321985	                Massilia lutea
0.14	70727	70727	S	864828	                Massilia umbonata
0.11	56265	56265	S	2045208	                Massilia violaceinigra
0.11	54472	54472	S	945844	                Massilia oculi
0.10	49425	49425	S	1141883	                Massilia putida
0.62	311269	100893	G	29580	              Janthinobacterium
0.19	92473	5139	G1	2610881	                unclassified Janthinobacterium
0.08	42240	42240	S	1644131	                  Janthinobacterium sp. 1_2014MBL_MicDiv
0.04	19500	19500	S	1938606	                  Janthinobacterium sp. LM6
0.16	77529	6854	S	55508	                Janthinobacterium agaricidamnosum
0.14	70675	70675	S1	1349767	                  Janthinobacterium agaricidamnosum NBRC 102515 = DSM 9628
0.03	15360	15360	S	368607	                Janthinobacterium svalbardensis
0.03	14289	14289	S	2590869	                Janthinobacterium tructae
0.38	188373	0	G	75654	              Duganella
0.38	188373	1410	G1	2636909	                unclassified Duganella
0.29	145627	145627	S	2728021	                  Duganella sp. AF9R3
0.08	41336	41336	S	2728020	                  Duganella sp. GN2-R2
0.16	77996	12224	G	963	              Herbaspirillum
0.03	17246	17246	S	2014887	                Herbaspirillum robiniae
0.07	32848	3033	G	202907	              Collimonas
0.43	213565	16811	F	119060	            Burkholderiaceae
0.13	65602	17118	G	106589	              Cupriavidus
0.03	12801	12572	S	164546	                Cupriavidus taiwanensis
0.11	55730	9565	G	32008	              Burkholderia
0.05	23863	6459	G1	87882	                Burkholderia cepacia complex
0.06	30613	5675	G	1822464	              Paraburkholderia
0.04	22322	9508	G	48736	              Ralstonia
0.36	178351	19419	F	80864	            Comamonadaceae
0.08	41565	5170	G	34072	              Variovorax
0.04	21636	5891	G1	663243	                unclassified Variovorax
0.03	13401	8092	S	34073	                Variovorax paradoxus
0.05	25047	2782	G	12916	              Acidovorax
0.03	15656	1415	G	47420	              Hydrogenophaga
0.03	12599	1392	G1	2610897	                unclassified Hydrogenophaga
0.03	13173	1879	G	283	              Comamonas
0.03	13151	204	G	28065	              Rhodoferax
0.13	65456	3653	F	506	            Alcaligenaceae
0.06	27831	7402	G	222	              Achromobacter
0.04	21593	4184	G	517	              Bordetella
0.07	35675	1015	O1	224471	            Burkholderiales genera incertae sedis
0.11	55457	1100	O	206351	          Neisseriales
0.08	40129	1745	F	1499392	            Chromobacteriaceae
0.03	13745	0	G	885864	              Jeongeupia
0.03	13745	914	G1	2619593	                unclassified Jeongeupia
0.03	14228	195	F	481	            Neisseriaceae
0.05	25779	721	O	206389	          Rhodocyclales
0.03	14835	303	F	2008794	            Zoogloeaceae
0.03	13889	137	O	32003	          Nitrosomonadales
5.88	2932479	45981	C	28211	        Alphaproteobacteria
5.12	2554585	0	O	204455	          Rhodobacterales
5.12	2554585	89093	F	31989	            Rhodobacteraceae
4.18	2083311	81288	G	265	              Paracoccus
3.77	1881183	1878382	S	266	                Paracoccus denitrificans
0.06	28428	688	G1	246570	                unclassified Paracoccus
0.04	22396	22396	S	82367	                Paracoccus pantotrophus
0.09	44413	1260	G	1060	              Rhodobacter
0.04	17760	94	G1	196779	                unclassified Rhodobacter
0.03	14664	7983	S	1061	                Rhodobacter capsulatus
0.05	24460	2004	G	60136	              Sulfitobacter
0.03	14895	872	G1	196795	                unclassified Sulfitobacter
0.05	23827	2216	G	74030	              Roseovarius
0.04	21364	0	G	1653176	              Cereibacter
0.04	21364	19578	S	1063	                Cereibacter sphaeroides
0.04	18916	2480	G	34008	              Rhodovulum
0.03	16089	0	G	1443919	              Tabrizicola
