tool	rank	metric	sample	value
Gold standard	superkingdom	Bray-Curtis distance		0.0
Gold standard	phylum	Bray-Curtis distance		0.0
Gold standard	class	Bray-Curtis distance		0.0
Gold standard	order	Bray-Curtis distance		0.0
Gold standard	family	Bray-Curtis distance		0.0
Gold standard	genus	Bray-Curtis distance		0.0
Gold standard	species	Bray-Curtis distance		0.0
Gold standard	strain	Bray-Curtis distance		0.0
Gold standard	superkingdom	Shannon diversity		0.47404061812816134
Gold standard	superkingdom	Shannon equitability		0.6838960489534373
Gold standard	phylum	Shannon diversity		1.6471831966453045
Gold standard	phylum	Shannon equitability		0.9193104459243973
Gold standard	class	Shannon diversity		2.1395668019073213
Gold standard	class	Shannon equitability		0.8610250216400919
Gold standard	order	Shannon diversity		2.1801058886115747
Gold standard	order	Shannon equitability		0.8260926597336963
Gold standard	family	Shannon diversity		2.0921900724845237
Gold standard	family	Shannon equitability		0.7545980605426358
Gold standard	genus	Shannon diversity		2.2153967399565477
Gold standard	genus	Shannon equitability		0.7167150802311343
Gold standard	species	Shannon diversity		1.3957167792808653
Gold standard	species	Shannon equitability		0.445134541212116
Gold standard	strain	Shannon diversity		2.0822879184699707
Gold standard	strain	Shannon equitability		0.5085766199754967
Gold standard	superkingdom	True positives		2.0
Gold standard	superkingdom	False negatives		0.0
Gold standard	superkingdom	False positives		0.0
Gold standard	superkingdom	Completeness		1.0
Gold standard	superkingdom	Purity		1.0
Gold standard	superkingdom	F1 score		1.0
Gold standard	superkingdom	Jaccard index		1.0
Gold standard	phylum	True positives		6.0
Gold standard	phylum	False negatives		0.0
Gold standard	phylum	False positives		0.0
Gold standard	phylum	Completeness		1.0
Gold standard	phylum	Purity		1.0
Gold standard	phylum	F1 score		1.0
Gold standard	phylum	Jaccard index		1.0
Gold standard	class	True positives		12.0
Gold standard	class	False negatives		0.0
Gold standard	class	False positives		0.0
Gold standard	class	Completeness		1.0
Gold standard	class	Purity		1.0
Gold standard	class	F1 score		1.0
Gold standard	class	Jaccard index		1.0
Gold standard	order	True positives		14.0
Gold standard	order	False negatives		0.0
Gold standard	order	False positives		0.0
Gold standard	order	Completeness		1.0
Gold standard	order	Purity		1.0
Gold standard	order	F1 score		1.0
Gold standard	order	Jaccard index		1.0
Gold standard	family	True positives		16.0
Gold standard	family	False negatives		0.0
Gold standard	family	False positives		0.0
Gold standard	family	Completeness		1.0
Gold standard	family	Purity		1.0
Gold standard	family	F1 score		1.0
Gold standard	family	Jaccard index		1.0
Gold standard	genus	True positives		22.0
Gold standard	genus	False negatives		0.0
Gold standard	genus	False positives		0.0
Gold standard	genus	Completeness		1.0
Gold standard	genus	Purity		1.0
Gold standard	genus	F1 score		1.0
Gold standard	genus	Jaccard index		1.0
Gold standard	species	True positives		23.0
Gold standard	species	False negatives		0.0
Gold standard	species	False positives		0.0
Gold standard	species	Completeness		1.0
Gold standard	species	Purity		1.0
Gold standard	species	F1 score		1.0
Gold standard	species	Jaccard index		1.0
Gold standard	strain	True positives		60.0
Gold standard	strain	False negatives		0.0
Gold standard	strain	False positives		0.0
Gold standard	strain	Completeness		1.0
Gold standard	strain	Purity		1.0
Gold standard	strain	F1 score		1.0
Gold standard	strain	Jaccard index		1.0
Gold standard	superkingdom	L1 norm error		0.0
Gold standard	phylum	L1 norm error		0.0
Gold standard	class	L1 norm error		0.0
Gold standard	order	L1 norm error		0.0
Gold standard	family	L1 norm error		0.0
Gold standard	genus	L1 norm error		0.0
Gold standard	species	L1 norm error		0.0
Gold standard	strain	L1 norm error		0.0
Gold standard	na	Weighted UniFrac error		0.0
Gold standard	na	Unweighted UniFrac error		0.0
Gold standard	na	Weighted UniFrac (CAMI)		0.0
Gold standard	na	Unweighted UniFrac (CAMI)		0.0
Gold standard	superkingdom	Sum of abundances		1.0
Gold standard	phylum	Sum of abundances		1.0
Gold standard	class	Sum of abundances		0.9999999999999999
Gold standard	order	Sum of abundances		0.9999999999999997
Gold standard	family	Sum of abundances		1.0
Gold standard	genus	Sum of abundances		0.9999999999999997
Gold standard	species	Sum of abundances		0.9999999999999999
Gold standard	strain	Sum of abundances		1.0000000000000007
Gold standard	superkingdom	Taxon counts		2.0
Gold standard	phylum	Taxon counts		6.0
Gold standard	class	Taxon counts		12.0
Gold standard	order	Taxon counts		14.0
Gold standard	family	Taxon counts		16.0
Gold standard	genus	Taxon counts		22.0
Gold standard	species	Taxon counts		23.0
Gold standard	strain	Taxon counts		60.0
Gold standard	superkingdom	Bray-Curtis distance (unfiltered)		0.0
Gold standard	phylum	Bray-Curtis distance (unfiltered)		0.0
Gold standard	class	Bray-Curtis distance (unfiltered)		0.0
Gold standard	order	Bray-Curtis distance (unfiltered)		0.0
Gold standard	family	Bray-Curtis distance (unfiltered)		0.0
